Id,Offer Status,Address,Price,Size,Property Type,Agency Name,Agent Name,Description,Property Link,Date Posted,Latitude,Longitude
6624703,,"Riverside South Building, Walcot Street, Bath, Bath And North East Somerset","£67,000.00  Per  Annum","2,783 Sq Ft","Office, Offices",Carter Jonas LLP,Philip Marshall,"ONE FLOOR REMAININGThe property comprises office suites arranged over the first and second floors. Both suites are predominately open plan, with some partitioning to provide meeting facilities. Each suit also benefits form having its own kitchen and toilet facilities .The property was recently refurbished and have been finished to a modern standard and include Cat II fluorescent lighting as well as Air Conditioning.Bath is an internationally recognise city, located approximnately 100 miles west of London and 13 miles east of Bristol. It is set within a built environment of the highest quality with a residential population of over 80,000 and annual visitor numbers exceeding 4 million at the last Census.Walcot and Walcot Street form one of the main gateways into Bsth and the area has retained its own individual character despite being within a few minutes' walk of the city centre. Bath Spa station provides links to Bristol Temple Meads (from 12 minutes) and links to London Paddington (from 84 minutes).High Quality Open Plan Office SpaceGood Local Transport LinksCity Centre LocationAir Conditioning ( Agency Pilot Software ref: 20010938 )",https://propertylink.estatesgazette.com/property-details/6624703-riverside-south-building-walcot-street-bath-bath-and-north-east-somerset,15th October 2024,51.388297,-2.359127
6964229,Under Offer,"25 New Bond Street, Bath","£70,000.00  Per  Annum","1,737 Sq Ft","General Retail, Retail",Carter Jonas LLP,Tim Brooksbank,"The premises are arranged over ground and basement floors. The ground floor provides open plan sales space with ancillary storage, kitchen and W/C facilities located in the basement.( Agency Pilot Software ref: 20016038 )",https://propertylink.estatesgazette.com/property-details/6964229-25-new-bond-street-bath,5th June 2024,51.383192,-2.359812
6761741,,"Royal Mead , 4-5 Railway Place, City Centre, Bath, South West, BA1",£36.00 - £40.00   Per Sq Ft,"4,092 - 25,451 Sq Ft","Office, Offices",Lambert Smith Hampton - Bristol ,Roxine Foster,"Royal Mead is being comprehensively remodeled to provide exceptional accommodation with a contemporary feel. Royal Mead will benefit from a new glazed reception, new lifts, new toilet accommodation and new showers together with lockers, drying room and extensive cycle storage. The office floors will be comprehensively refurbished with new air conditioning throughout, new suspended ceilings and new LED lighting together with full access raised floors.( Agency Pilot Software ref: 2018995 )",https://propertylink.estatesgazette.com/property-details/6761741-royal-mead-4-5-railway-place-city-centre-bath-south-west-ba1,2nd January 2025,51.3778,-2.355498
6961144,Under Offer,"Unit 4, Locksbrook Court, Locksbrook Road Trading Estate, Bath, Bath and North East Somerset, BA1 3EN","£45,500.00  Per  Annum",,"General Industrial, Industrial",CSquared (Previously Colston & Colston Chartered Surveyors),Emily Dagg,"DescriptionThe property comprises a terraced unit with blockwork construction, coated steel profile roof with translucent panelling and a 6.3m eaves height. Internally, warehouse/ production space is available on the ground floor, also benefitting from office, and w/c space with several parking spaces to the front. The property also has use of a 4.5m high concertina roller shutter door.LocationBath is a city renowned for its attractive architecture, unique retail offering  and  world heritage status. Bath and North-East Somerset has a residential population of 193,400 and annual visitor numbers exceeding 6 million, according to the last Visitor Impact Report 2018. Bath is served by excellent transport infrastructure, junction 18 of the M4 being just 10 miles to the north via the A46. Train journeys to Bristol are just 12 minutes, with travel to London Paddington approximately 1 hour 20 minutes.SituationThe property is situated on Locksbrook Road trading estate, within Bath's main Industrial and warehousing zone, with access from the A4 via Upper Bristol Road.Accommodation TextThe property benefits from the following Net Internal Floor Areas:-Ground floor - 281.5 Sq M (3,030 Sq Ft)Total - 281.5 Sq M (3,030 Sq Ft)Business RatesRates payable subject to small business rate relief eligibility.Rateable Value (April 2023) - £31,750UBR(23/24) - 0.499Rates Payable (April 2023) - £15,843.25We recommend any interested parties make their own enquiries to Bath  and  North East Somerset Council (01225 477000) to verify these figures.Legal CostsEach party is to be responsible for their own legal and professional fees incurred in any transaction.EPC Text41 BFurther InformationNathan ClarkM 07983 460 230E nathan.clark@cs-re.co.ukEmily DaggM 07398 637 345E Emily.dagg@cs-re.co.ukMaddie PylesM 07950 765672E maddie.pyles@cs-re.co.uk( Agency Pilot Software ref: 720 )",https://propertylink.estatesgazette.com/property-details/6961144-unit-4-locksbrook-court-locksbrook-road-trading-estate-bath-bath-and-north-east-somerset-ba1-3en,12th August 2024,51.382013,-2.389885
7014329,,"Units 3 and 4 Victoria Park Business Centre, Midland Road, Bath, Bath and North East Somerset, BA1 3AX",£12.00   Per Sq Ft,"1,839 Sq Ft","Warehouse, General Industrial, Industrial",CSquared (Previously Colston & Colston Chartered Surveyors),Maddie Pyles,"Industrial/workshop unit constructed with blockwork elevations under a corrugated steel panel roof. Units 3-4 are currently interconnected but can be divided to provide two separate units. Each unit has a manually operated roller shutter door and benefits from a clear eave's height of 4.9m.The unit is suitable for E(g)(iii) and B8 storage and distribution uses, subject to planning consent. Prospective tenants should make enquiries with BANES Council.( Agency Pilot Software ref: 2018 )",https://propertylink.estatesgazette.com/property-details/7014329-units-3-and-4-victoria-park-business-centre-midland-road-bath-bath-and-north-east-somerset-ba1-3ax,11th February 2025,51.3850377,-2.3804987
7004411,,"26 New Bond Street, Bath, Bath and North East Somerset","£50,000.00  Per  Annum",,"General Retail, Restaurants/Cafes, Retail, Licensed & Leisure",Carter Jonas LLP,Tim Brooksbank,The premises are arranged over part ground and first floors. The ground floor consists of a grand dual staircase leading to the first floor which offers large open plan trading space. Ancillary space and W/C facilities are located at the rear of the first floor.The EPC will be made available to interested parties on application.( Agency Pilot Software ref: 20018306 ),https://propertylink.estatesgazette.com/property-details/7004411-26-new-bond-street-bath-bath-and-north-east-somerset,22nd January 2025,51.3832152,-2.3596908
6956059,,"1a Piccadilly Place, London Road, Bath, BA1 6PL","£25,000.00  Per  Annum","2,840 Sq Ft","Office, Retail - High Street, Restaurants/Cafes, Pubs/Bars/Clubs, Offices, Retail, Licensed & Leisure",CSquared (Previously Colston & Colston Chartered Surveyors),Nathan Clark,"The property compromises a ground floor brewpub within a grade II listed building. The use class for the brewpub is currently sui generis, but would be suitable for a variety of uses within use class E, subject to the necessary planning consents. The first floor flat could also be converted to commercial use subject to the necessary planning consents.The ground floor comprises a main bar area, with ancillary rooms and w/c facilities also provided. The property also benefits from a cellar and former skittle alley most recently used as a brewery. The apartment benefits from a separate entrance from Hanover Street and is available by way of separate negotiations.The property benefits from the following Internal Floor Areas:-Ground floor commercial - 1,743 sq ft.For further information or to arrange a viewing please contact the sole agents at CSquared, Nathan Clark.( Agency Pilot Software ref: 714 )",https://propertylink.estatesgazette.com/property-details/6956059-1a-piccadilly-place-london-road-bath-ba1-6pl,20th February 2025,51.392657,-2.351998
6964228,,"First Floor Offices, Bath Cricket Club, North Parade, Bath","£40,500.00  Per  Annum","1,620 Sq Ft","Office, Offices",Carter Jonas LLP,Philip Marshall,"DescriptionOpen Plan Quality Offices / StudioNewley built, the offices provide open plan offices at 1st floor level, on the southern corner of a recent development, overlooking the pitch. The offices are accessed via a shared, ground floor entrance with the Club, which the Club will maintain to a high standard. The offices, currently without WC or Kitchenette, will be finished to an agreed specification by the club, for the tenant.One or two parking spaces may be available by separate negotiation.LocationBath is an internationally recognised city, located approximately 100 miles west of London and 13 miles east of Bristol. It is set within a built environment of the highest quality, with a residential population of over 80,000 and annual visitor numbers exceeding 4 million at the last Census. Bath Cricket Club is situated immediately to the south of North Parade Bridge, in the heart of Bath City Centre. It is a short walk from Bath Spa Railway Station, Bath's famous retail centre, and many other local facilities. It is also close to bus routes to and from the city and, although not within an office area, the offices will face the greenery of the cricket pitch and have a pleasant outlook, whilst being close to central facilities.Bullet Points 1Quality Open Plan SpaceBullet Points 2Air Conditioned, 'B' EPC ratingBullet Points 3City Centre LocationEPCIt has been assessed as EPC 'B'.( Agency Pilot Software ref: 20016037 )",https://propertylink.estatesgazette.com/property-details/6964228-first-floor-offices-bath-cricket-club-north-parade-bath,5th June 2024,51.3799994,-2.3527256
7017707,,"Henry Street, Bath, BA1","£810.00 - £86,265.00   Per Month (Furnished and All-inclusive)","120 - 10,650 Sq Ft","Serviced Office, Offices",Free Office Finder,Spencer Miller,Ref: EG91899• Private Offices (Serviced) - Furnished or Unfurnished• Flexible terms: 3 months to 5 years (rolling or fixed)• Flexible start dates available• Our agency service is 100% free (paid for by landlords),https://propertylink.estatesgazette.com/property-details/7017707-range-of-private-serviced-offices-to-rent-in-henry-street-bath,20th February 2025,51.379533,-2.3582682
6906944,Under Offer,"The Corridor, Bath, Bath And North East Somerset, BA1","£40,000.00  Per  Annum","1,763 Sq Ft","General Retail, Restaurants/Cafes, Retail, Licensed & Leisure",Carter Jonas LLP,Tim Brooksbank,Class 'E' Retail Unit to LetThe Grade II Listed property is arranged over ground floor and basement: there is a mezzanine kitchen/ancillary area. The mezzanine floor provides open plan sales. The first floor is accessed via a spiral staircase and provides kitchen and W/C facilities. The basement provides additional ancillary accommodation.( Agency Pilot Software ref: 20014099 ),https://propertylink.estatesgazette.com/property-details/6906944-the-corridor-bath-bath-and-north-east-somerset-ba1,6th January 2025,51.382109,-2.3597827
6974836,,"Unit 3, The Grain Store Spring Wharf, Roseberry Road, Bath, Somerset","£60,000.00  Per  Annum","3,409 Sq Ft","General Retail, Retail",Carter Jonas LLP,Tim Brooksbank,"Unit 3, currently trading as Scoop Wholefoods will be available from November 2024. The premises is arranged over ground floor only and consist of open plan sales area with separate W/C and staff facilities.The unit is perfectly suited for a mixture of uses, from local independents to national retailers. It could comprise of a supermarket, caf�, bar, fashion retail or restaurant that would cater not only for the residents of Spring Wharf, but also the densely populated surrounding areas. In addition to the scheme itself, over 2,500 high quality new homes are being or have recently been built around this site making this area a great opportunity for potential occupiers in a prime destination. Unit 3 has duel access out to the car parking area and neighbours which include Trek Bikes and Pure Gym.Spring Wharf occupies a highly prominent and accessible location at the junction of Lower Bristol and Windsor Bridge Road on the western side of Bath city centre. The site also has the benefit of frontage to the River Avon, offers excellent accessibility via a wide range of transport links into the city and the wider urban area. The site is within easy walking distance of Oldfield Park Railway Station, Bath Spa Railway Station is just a 25 minute walk and a number of bus services linking to the city centre and surrounding areas. Spring Wharf sits adjacent the Bristol and Bath cycle path and nearby to the Two Tunnels Greenway.Spring Wharf is a new mixed-use urban regeneration scheme enjoyinga high impact location within Bath's Enterprise Zone. This well connected scheme comprises one to three high quality retail and leisure units, up to 5,000 sq m of headquarter office space and 171 purpose built, high-end rental apartments. The prominent retail and leisure units benefit from parking, dual aspect entrances and a dedicated loading bay.The EPC will be made available to interested parties on application.( Agency Pilot Software ref: 20016151 )",https://propertylink.estatesgazette.com/property-details/6974836-unit-3-the-grain-store-spring-wharf-roseberry-road-bath-somerset,12th August 2024,51.38239,-2.381899
6987959,,"Suite 5 Western House, 2 Rush Hill, Bath, Somerset, BA2 2QH","£10,200.00  Per  Annum",219 Sq Ft,"Office, Offices",CSquared (Previously Colston & Colston Chartered Surveyors),Maddie Pyles,"The property comprises well-lit, open plan office space with own kitchen and WC facilities. This office suite is at first floor level and has a private double glazed access via a set of external stairs. The entrance is located to the rear of the main building, via a path to the right-hand side. The unit also benefits from one designated on-site car parking space, and on-street parking available nearby( Agency Pilot Software ref: 907 )",https://propertylink.estatesgazette.com/property-details/6987959-suite-5-western-house-2-rush-hill-bath-somerset-ba2-2qh,1st November 2024,51.365498,-2.394481
6994901,,"106 and 107 High Street, Twerton, Bath, Somerset, BA2 1DB","£12,000.00 - £22,000.00  Per  Annum",451 - 928 Sq Ft,"Office, Retail - High Street, Restaurants/Cafes, Offices, Retail, Licensed & Leisure",CSquared (Previously Colston & Colston Chartered Surveyors),Maddie Pyles,"106 and 107 High Street comprise open plan ground floor retail, both benefiting from a large double-glazed frontage onto Twerton High Street. Ancillary storage, W/C's and kitchenette facilities are located at the rear of the properties. The premises are suitable for a variety of uses, under use class E.The units are separate and could potentially be interconnected subject to the necessary statutory consents.( Agency Pilot Software ref: 1949 )",https://propertylink.estatesgazette.com/property-details/6994901-106-and-107-high-street-twerton-bath-somerset-ba2-1db,9th December 2024,51.379809,-2.394936
7003419,Under Offer,"10 Kingsmead Square, Bath, Bath and North East Somerset","£12,000.00  Per  Annum",0 - 641 Sq Ft,"General Retail, Restaurants/Cafes, Retail, Licensed & Leisure",Carter Jonas LLP,Tim Brooksbank,"The corner of a Grade II listed terrace property, this space is mainly open plan and is arranged over basement and ground floors. The ground floor is open plan with a return frontage onto Kingsmead Square and New Street. The basement consists of open plan sales with ancillary space and W/C.The space has the option to be used for a variety of uses.Kingsmead Square is an attractive location within the heart of Bath, providing good access to the Theatre Royal and the city's core retail zone. The Square has a mixture of retailers, restaurants and cafe operators including Boston Tea Party, Kingsmead Kitchen, Society Cafe, Mission Burrito, Swoon, The Dark Horse, Dough Pizzeria, and also a number of office tenants. The Kingsmead Leisure complex is also within close proximity and holds the Odeon cinema, Premier Inn and JD Weatherspoon's.The current EPC is band C (75).( Agency Pilot Software ref: 20018299 )",https://propertylink.estatesgazette.com/property-details/7003419-10-kingsmead-square-bath-bath-and-north-east-somerset,28th January 2025,51.381108,-2.363496
7014328,,"Units 1 and 2 Victoria Park Business Centre, Midland Road, Bath, Bath and North East Somerset, BA1 3AX",£12.00   Per Sq Ft,"1,834 Sq Ft","Warehouse, General Industrial, Industrial",CSquared (Previously Colston & Colston Chartered Surveyors),Maddie Pyles,"Industrial/workshop unit constructed with blockwork elevations under a corrugated steel panel roof. Units 1 - 2 are currently interconnected but can be divided to provide two separate units. Each unit has a manually operated roller shutter door and benefits from a clear eave's height of 4.9m.The unit is suitable for E(g)(iii) and B8 storage and distribution uses, subject to planning consent. Prospective tenants should make enquiries with BANES Council.( Agency Pilot Software ref: 2017 )",https://propertylink.estatesgazette.com/property-details/7014328-units-1-and-2-victoria-park-business-centre-midland-road-bath-bath-and-north-east-somerset-ba1-3ax,11th February 2025,51.3850377,-2.3804987
7006167,,"2nd & 3rd Floors, Northgate House, Upper Borough Walls, Bath, United Kingdom BA1 1RG",ROA,"1 - 10,800 Sq Ft","Office, Serviced Office, Offices, Business park, Land, Retail, Commercial Land",IWG Plc,IWG PLC,"Being based in Bath gives your business the kudos of an historic, upmarket location among a range of very modern companies from engineering to IT. Indeed, Bath is home to five of the biggest 150 companies in the west of England, as well as small to medium sized businesses in IT, software, publishing and retail. It’s a great place to be if your company needs strong rail connections to London (about 1hr 30mins) or Bristol (just 20 minutes away) and by car Bath is 20 minutes from the M4.This makes a location in the heart of a designated UNESCO World Heritage site much sought-after, so this contemporary business centre in the conservation area is a real find. Northgate House is walking distance from the station and includes attractive offices, meeting rooms and co-working space (with business Wi-Fi), all newly refurbished. They offer attractive views of the historic city. Plus, talent graduating from the University of Bath and City of Bath College will give you a competitive advantage.At Spaces Northgate House, we can support with:• Office Space: Your own private and fully serviced office space with a flexible contract that adapts to your business and is accessible 24/7.• Coworking Membership: Work from thousands of coworking spaces worldwide, all with a flexible contract and unlimited access during business hours.• Dedicated Desk: Your own private desk in a shared office or open plan space that can be accessed 24/7, locker included, all with a flexible contract.• Meeting Rooms: Choose from thousands of on-demand meeting rooms and event spaces with all the services you need, fully customisable to any event or duration.• Virtual Office: Leave the best impression with a professional business address at one of our locations and have us handle your calls and mail.Just so you know; all images shown in this listing are from Spaces locations, but they may not correspond to this specific one.Get in touch",https://propertylink.estatesgazette.com/property-details/7006167-we-offer-workspace-options-fully-tailored-to-your-needs-in-spaces-northgate-house,30th January 2025,51.3826169,-2.3595445
