Id,Address,Price,Size,Property Type,Agency Name,Agent Name,Description,Property Link,Date Posted,Latitude,Longitude
6778007,"A/B &amp; Grd C/D Crescent Office Park, Clarks Way, Bath, BA2 2AF",ROA,"2,400 - 7,200 Sq Ft","Office, Offices",Colliers ,James Preece,"Modern air conditioned offices with views over Bath and the surrounding area.EPC RatingC (58)Description-Air conditioning-Suspended ceilings-LG7 lighting-Perimeter trunking-Kitchenette-Male, female and disabled WC’sLocationBath is a world heritage site in the county of Somerset, 97 miles west of London and 11 miles south-east of Bristol.Crescent Office Park is located adjacent to the A367, 2 miles from the city centre on the southern outskirts. The property benefits from being 1.6 miles from Bath Railway Station and just 1.2 miles from Oldfield Park Station.AccommodationA/B Ground Floor - 2,400 sq ft (223 sq m)A/B First Floor - 2,400 sq ft (223 sq m)C/D Ground Floor - 2,400 sq ft (223 sq m)Car Parking27 on site car parking spaces, equivalent to a ratio of 1:267 sq ftTermsThe offices are available as a whole or on a floor by floor basis, by way of a new full repairing and insuring lease for a term to be agreed.Rental / PriceUpon application.Legal CostsEach party will be responsible for their own legal costs.Business RatesInterested parties should make their own enquiries.Service ChargeIf the property is let on a floor by floor basis, a service charge will be levied to cover the cost of the common services.VATAll figures quoted are exclusive of VAT where applicable.ViewingStrictly by prior appointment through sole agents Colliers.",https://propertylink.estatesgazette.com/property-details/6778007-a-b-amp-grd-c-d-crescent-office-park-clarks-way-bath-ba2-2af,1st July 2022,51.3622856,-2.3866287
6906944,"The Corridor, Bath, Bath And North East Somerset, BA1","£40,000.00  Per  Annum","1,763 Sq Ft","General Retail, Restaurants/Cafes, Retail, Licensed & Leisure",Carter Jonas LLP,Tim Brooksbank,Class 'E' Retail Unit to LetThe Grade II Listed property is arranged over ground floor and basement: there is a mezzanine kitchen/ancillary area. The mezzanine floor provides open plan sales. The first floor is accessed via a spiral staircase and provides kitchen and W/C facilities. The basement provides additional ancillary accommodation. ( Agency Pilot Software ref: 20014099 ),https://propertylink.estatesgazette.com/property-details/6906944-the-corridor-bath-bath-and-north-east-somerset-ba1,9th October 2024,51.382109,-2.3597827
6923560,"Upper Floors , 39 Gay Street, Bath, Bath And North East Somerset, BA1 2NT","£10,000.00 - £23,500.00  Per  Annum",436 Sq Ft,"Office, Offices",CSquared (Previously Colston & Colston Chartered Surveyors),Maddie Pyles,"Gay Street is part of Bath's long standing economic centre and runs parallel to Milsom Street. Surrounding occupiers include construction consultants, financial institutions, law firms, cafes, restaurants and bars. Nearby car parking can be found at Charlotte Street Car Park, less than 350 metres west. Bath Spa train station and Bath bus station are a 15-minute walk to the south.The Grade II Listed building forms part of a mid-terraced Georgian townhouse constructed of Bath ashlar stone. Each floor provides interlinked offices providing the flexibility for an occupier to have private meeting rooms / offices. Sash windows placed to the front of the property and to the rear provide excellent levels of natural light to all floors. A single W/C is provided off the landing for the benefit of the suites.First, second and third floor office available together or separately. Attractive Rent-Free Period Available, Subject to Terms.The property benefits from the following Net Internal Floor Areas:- 1,225 sqftRates payable subject to small business rate relief eligibility.We recommend any interested parties make their own enquiries to Bath  and  North East Somerset Council (01225 477000) to verify these figures.Viewings can be arranged through the sole agents at CSquared. ( Agency Pilot Software ref: 339 )",https://propertylink.estatesgazette.com/property-details/6923560-upper-floors-39-gay-street-bath-bath-and-north-east-somerset-ba1-2nt,12th August 2024,51.3841127,-2.3631466
6898832,"Bath Street, Bath, Bath And North East Somerset, BA1",ROA,"5,381 Sq Ft","Office, General Retail, Restaurants/Cafes, Offices, Retail, Licensed & Leisure",Carter Jonas LLP,Tim Brooksbank,"LEASE ASSIGNMENT - Retail Unit 'E' UseThis Grade I Listed property comprises ground, first and basement floor sales and benefit from an attractive and prominent frontage onto Bath Street.The colonnades provide for al fresco dining along with additional seating (STP) on Bath Street. The recently refurbished property has a new staircase from basement level to first floor allowing an occupier to utilise all floors as sales. The property also benefits from an alcohol licence.The property is currently occupied by Fly Fitness who are looking to assign their Lease.  ( Agency Pilot Software ref: 20013056 )",https://propertylink.estatesgazette.com/property-details/6898832-bath-street-bath-bath-and-north-east-somerset-ba1,22nd April 2024,51.3807307,-2.3606197
6692883,"Newark Works, Lower Bristol Road, Bath, Somerset, BA2",ROA,"244 - 4,841 Sq Ft","Office, Offices",CSquared (Previously Colston & Colston Chartered Surveyors),Allan Lloyd,"Newark Works is the only remaining 19th century works of the highly significant engineering firm, Stothert  and  Pitt.The development will retain much of the character of the building; set to provide unique and iconic industrial style workspaces.The huge halls and high ceilings, exposed brickwork and industrial steel, combine to provide a dramatic working environment, to provide a creative hub for forward thinkers, thought leaders and entrepreneurs.It is a dynamic and vibrant destination at the heart of the fast-evolving Bath Quays business district, within the new Bath Enterprise Zone. This is a home for single entrepreneurs, burgeoning creative businesses and well-established companies alike.Follow the link for a 3D walk through of the development and to see the available space: https://my.matterport.com/show/?m=ENDC35tpzKABath is a city which offers both the traditional and contemporary. Steeped in history and surrounded by world heritage architecture, Bath is home to many cultural events, such as literary and live music festivals as well as bustling shopping streets and beautiful countryside.Prominently positioned on the riverfront, Bath Quays sits within the Bath World Heritage Site and is a 4.5 acre game-changing development. The city's dramatic new riverside district for business, recreation  and  culture.A blend of historic buildings with contemporary architecture on both north and south sides of the river, offering a total of circa 340,000 sq ft of office space.Benefitting from a new foot bridge across the river, Newark Works and Bath Quays are only 5 minutes' walk from the city centre, train station and the city's outstanding retail, food and leisure offer.TCN's redevelopment of this historic, Grade-II listed, industrial building, signifies the rebirth of Newark Works and future collaborations across 40,000 sq ft of workspaces.It is a dynamic and vibrant destination at the heart of the fast-evolving Bath Quays business district, within the new Bath Enterprise Zone. This is a home for single entrepreneurs, burgeoning creative businesses and well-established companies alike. ( Agency Pilot Software ref: 434 )",https://propertylink.estatesgazette.com/property-details/6692883-newark-works-lower-bristol-road-bath-somerset-ba2,7th October 2024,51.3781761,-2.363818
6977992,"Cambridge House, 1-4 Cambridge House, Henry Street, Bath, BA1 1JS",ROA,"5,500 - 11,724 Sq Ft","Office, Offices",Hartnell Taylor Cook LLP,Chris Grazier,"Key PointsCentral Bath locationOpen plan office accommodationRaised carpets and suspended ceilingsImmediately adjacent to Southgate Shopping CentreSummaryPrime office accommodation in a central Bath locationDescriptionCambridge House comprises a retail unit on the ground floor with 5 floors of high quality office accommodation above. The fourth floor provides an open plan office, benefiting from suspended ceilings, raised floors, air conditioning, LG7 lighting, fully fitted kitchen with social space, WCs and shower facilities.LocationBath is a historic, vibrant city and designated UNESCO World Heritage Site. Bath City Centre is one of the UK’s top tourist destinations in the UK with attractions such as the Roman Bath and Bath's famous architecture and archaeology.Bath benefits from excellent road communications situated 8 miles south of the M4 motorway and 20 miles east of the M5 motorway. There is a direct rail service from Bath Spa to London Paddington at regular intervals with the fastest journey time of 1 hour 25 minutes. There are regular direct trains to Bristol Temple Meads Railway Station, and an approximate journey time of 12 minutes.Cambridge House is situated on Henry Street, a short 4-minute walk to Bath Spa Train Station (0.2 miles) and Bath’s primary Bus Station. The property is closely located to the primary retailing pitch of Stall Street and Union Street. The property is also situated a short walk from the SouthGate Shopping Centre, Bath’s primary shopping centre.Availability_textThe accommodation comprises the following areas:",https://propertylink.estatesgazette.com/property-details/6977992-cambridge-house-1-4-cambridge-house-ba1,4th September 2024,51.379533,-2.358268
6870350,"Ground Floor, 14 Queen Square, Bath, Bath And North East Somerset","£29,500.00  Per  Annum","1,298 Sq Ft","Office, Offices",Carter Jonas LLP,Maddie Pyles,"Prime Bath City Centre Offices - To LetThe property comprises a number of interconnecting offices all at ground floor level, The office space benefits from shared WCs, showers and kitchen facilities.The property is situated on the western side of Queen Square in a prominent position on the corner within Bath city centre, next to Chapel Row. The offices are within a 15 minute walk of Bath Spa railway station, the Southgate Shopping Centre and a variety of restaurants, bars and amenities within the city centre.Bath is a UNESCO World Heritage City of international repute with an approximate population of 99,277 (ONS mid-year population estimates 2018). The city is a regional hub for retail and leisure and is one of the United Kingdom's most visited cities in terms of tourist numbers; with two universities and an established business community.Bath Spa train station has direct trains to both Bristol (circa 12 minutes) and London Paddington (circa 1 hour 30 minutes). Bath enjoys good road links to Bristol via the A4, the south coast via the A36 and the M4 Motorway (Junction 18).Prime City Centre LocationGrade I Listed ( Agency Pilot Software ref: 20012860 )",https://propertylink.estatesgazette.com/property-details/6870350-ground-floor-14-queen-square-bath-bath-and-north-east-somerset,11th April 2024,51.3830661,-2.3643166
6983272,"2.04 Newark Works, Lower Bristol Road, Bath, Somerset, BA2 3DQ",ROA,"1,047 Sq Ft","Office, Offices",CSquared (Previously Colston & Colston Chartered Surveyors),Allan Lloyd,"Unit 2.04 is situated on the ground floor, next to Mokoko at Newark Works with access directly from the promenade making it self-contained. The suite benefits from double-height ceilings, a functional floorplate, fantastic levels of natural light, and features natural airflow. The unit has a solid concrete floor, exposed services including electricity ports and gas radiators, suspended dimmable LED strip lighting, double-glazed Crittall windows, and exposed steel beams.The communal kitchen and breakout space is located in the Crain Hall which acts as the site's community hub where a variety of breakout spaces can be found including a kitchen island, sofas, dining tables, and spaces for informal meetings. Formal meeting space is provided, the building has 2x 6-person meeting rooms and 2x 12-person meeting rooms.Kitchen essentials are provided along with fridges, freezers, ice machines, tea, coffee, dog biscuits, and more.Showers and lockers are located on the ground floor. W/c facilities can be found throughout the property on all floors.Newark Works holds a variety of social events throughout the month and occupiers are welcome to hold their own events at the premises also.Newark Works is the only remaining 19th century works of the highly significant engineering firm, Stothert  and  Pitt.The development will retain much of the character of the building; set to provide unique and iconic industrial style workspaces.Newark Works is the only remaining 19th century works of the highly significant engineering firm, Stothert  and  Pitt, once the cities principle employer.The development will retain much of the character of the building; set to provide unique and iconic industrial style workspaces.The huge halls and high ceilings, exposed brickwork and industrial steel, combine to provide a dramatic working environment, to provide a creative hub for forward thinkers, thought leaders and entrepreneurs.It is a dynamic and vibrant destination at the heart of the fast-evolving Bath Quays business district, within the new Bath Enterprise Zone. This is a home for single entrepreneurs, burgeoning creative businesses and well-established companies alike.Follow the link for a 3D walk through of the development and to see the available space: https://my.matterport.com/show/?m=t8MsouEWgD6 ( Agency Pilot Software ref: 558 )",https://propertylink.estatesgazette.com/property-details/6983272-2-04-newark-works-lower-bristol-road-bath-somerset-ba2-3dq,16th October 2024,51.3781761,-2.363818
6938574,"18-18a Monmouth Place, Bath, Bath And North East Somerset, BA1 2AY","£45,000.00  Per  Annum","2,031 Sq Ft","Office, Offices",CSquared (Previously Colston & Colston Chartered Surveyors),Emily Dagg,"DescriptionThe property comprises newly refurbished office accommodation at ground and first floor levels of a Grade II Listed building with Class E use consent. The current configuration provides a reception office, meeting room, storage room, kitchen and two WC's off a lobby area at ground floor and office use at first floor and mezzanine level (from first floor).There is a steel spiral staircase to the rear of the ground floor which provides access to the first floor and up to the mezzanine.The rooms at first floor benefit from good levels of natural light from font and rear windows and a number of skylights.LocationBath is a city renowned for its attractive architecture, unique retail offering  and  world heritage status. Bath and North-East Somerset has a residential population of 193,400 and annual visitor numbers exceeding 6 million, according to the last Visitor Impact Report 2018. Bath is served by excellent transport infrastructure, junction 18 of the M4 being just 10 miles to the north via the A46. Train journeys to Bristol are just 12 minutes, with travel to London Paddington approximately 1 hour 20 minutes.SituationThe property is situated on the Northern side of Monmouth Place in central Bath, which connects the A367 junction (Charles Street/Queen Square and Monmouth Street) with the A4 Upper Bristol Road.Nearby occupiers include The Scallop Shell, The Bath Distillery, Wentworth Estate Agents, Chapel Row Beauty Rooms and Corkage.Accommodation TextWe understand the net internal floor areas are as follows: -Ground Floor - 73.6 Sq M (792.2 Sq Ft)First Floor - 101.3 Sq M (1,090.4 Sq Ft)Mezzanine - 13.8 Sq M (148.5 Sq Ft)Total - 118.7 Sq M (2,031.1 Sq Ft)Business RatesRateable Value (April 2023) - £40,250UBR(23/24) - 0.512Rates Payable (April 2023) - £20,608Rates payable subject to small business rate relief eligibility.We recommend any interested parties make their own enquiries to Bath  and  North East Somerset Council (01225 477000) to verify these figures.Legal CostsEach party is to be responsible for their own legal and professional fees incurred in any transaction.Service Charge DetailsThe tenant will be expected to contribute to a fair and reasonable proportion of the landlord's costs in the upkeep, repair and maintenance of the building. Further details provided upon request.Further InformationViewings can be arranged through the joint agents,CSquared -Allan LloydNathan ClarkEmily DaggDerek Walker -Hugh Warren( Agency Pilot Software ref: 686 )",https://propertylink.estatesgazette.com/property-details/6938574-18-18a-monmouth-place-bath-bath-and-north-east-somerset-ba1-2ay,8th July 2024,51.3830505,-2.3664144
6964228,"First Floor Offices, Bath Cricket Club, North Parade, Bath","£40,500.00  Per  Annum","1,620 Sq Ft","Office, Offices",Carter Jonas LLP,Philip Marshall,"DescriptionOpen Plan Quality Offices / StudioNewley built, the offices provide open plan offices at 1st floor level, on the southern corner of a recent development, overlooking the pitch. The offices are accessed via a shared, ground floor entrance with the Club, which the Club will maintain to a high standard. The offices, currently without WC or Kitchenette, will be finished to an agreed specification by the club, for the tenant.One or two parking spaces may be available by separate negotiation.LocationBath is an internationally recognised city, located approximately 100 miles west of London and 13 miles east of Bristol. It is set within a built environment of the highest quality, with a residential population of over 80,000 and annual visitor numbers exceeding 4 million at the last Census. Bath Cricket Club is situated immediately to the south of North Parade Bridge, in the heart of Bath City Centre. It is a short walk from Bath Spa Railway Station, Bath's famous retail centre, and many other local facilities. It is also close to bus routes to and from the city and, although not within an office area, the offices will face the greenery of the cricket pitch and have a pleasant outlook, whilst being close to central facilities.Bullet Points 1Quality Open Plan SpaceBullet Points 2Air Conditioned, 'B' EPC ratingBullet Points 3City Centre LocationEPCIt has been assessed as EPC 'B'.( Agency Pilot Software ref: 20016037 )",https://propertylink.estatesgazette.com/property-details/6964228-first-floor-offices-bath-cricket-club-north-parade-bath,5th June 2024,51.3799994,-2.3527256
6976873,"Second Floor, 25 Windsor Castle, Upper Bristol Road, Bath, Bath and North East Somerset, BA1 3DN","£17,500.00  Per  Annum","1,032 Sq Ft","Office, Offices",CSquared (Previously Colston & Colston Chartered Surveyors),Maddie Pyles,SECOND FLOOR OPEN PLAN OFFICE WITH PARKING TO LET( Agency Pilot Software ref: 832 ),https://propertylink.estatesgazette.com/property-details/6976873-second-floor-25-windsor-castle-upper-bristol-road-bath-bath-and-north-east-somerset-ba1-3dn,28th October 2024,51.3842868,-2.381915
6966942,"32 Milsom Street, Bath, BA1 1DG","£40,000.00  Per  Annum",765 Sq Ft,"General Retail, Retail - High Street, Retail",Avison Young - Retail,Chris Wright,"SummaryRetail / High Street Retail To Let, BathDescriptionQuoting Rent - £40,000 pa - Prominently situated towards the top of Milsom Street - Grade II Listed Building.The City of Bath is a World Heritage Site attracting approximately 5.8m tourists per year with an established visitor spend in excess of £350m.The premises are prominently situated towards the top of Milsom Street, adjacent to Suave Owl, opposite HMV and close to Reiss, Vinegar Hill, Bravissimo, Savills, OKA and House of Fraser (Jollys).Local AuthorityBath and North East Somerset",https://propertylink.estatesgazette.com/property-details/6966942-32-milsom-street-ba1,3rd July 2024,51.3843428,-2.3614528
6624703,"Riverside South Building, Walcot Street, Bath, Bath And North East Somerset","£67,000.00  Per  Annum","2,783 Sq Ft","Office, Offices",Carter Jonas LLP,Philip Marshall,"ONE FLOOR REMAININGThe property comprises office suites arranged over the first and second floors. Both suites are predominately open plan, with some partitioning to provide meeting facilities. Each suit also benefits form having its own kitchen and toilet facilities .The property was recently refurbished and have been finished to a modern standard and include Cat II fluorescent lighting as well as Air Conditioning.Bath is an internationally recognise city, located approximnately 100 miles west of London and 13 miles east of Bristol. It is set within a built environment of the highest quality with a residential population of over 80,000 and annual visitor numbers exceeding 4 million at the last Census.Walcot and Walcot Street form one of the main gateways into Bsth and the area has retained its own individual character despite being within a few minutes' walk of the city centre. Bath Spa station provides links to Bristol Temple Meads (from 12 minutes) and links to London Paddington (from 84 minutes).High Quality Open Plan Office SpaceGood Local Transport LinksCity Centre LocationAir Conditioning ( Agency Pilot Software ref: 20010938 )",https://propertylink.estatesgazette.com/property-details/6624703-riverside-south-building-walcot-street-bath-bath-and-north-east-somerset,15th October 2024,51.388297,-2.359127
6404227,"Kings Court Parsonage Lane, Bath, Bath And North East Somerset, BA1",ROA,"5,687 - 17,007 Sq Ft","Office, Offices",Carter Jonas LLP,Philip Marshall,High Quality Open Plan Refurbished Offices To Let in Central Bath( Agency Pilot Software ref: 20009869 ),https://propertylink.estatesgazette.com/property-details/6404227-kings-court-parsonage-lane-bath-bath-and-north-east-somerset-ba1,11th April 2024,51.381907,-2.3611175
